Index,Date,Weekday,Departure Time,Arrivel Time,Price
57,2017-09-19,Tuesday,8:15 am,12:14 pm,$1
233,2017-10-29,Sunday,8:15 am,12:14 pm,$1
264,2017-11-05,Sunday,8:15 am,12:14 pm,$1
375,2017-11-30,Thursday,8:15 am,12:14 pm,$1
381,2017-12-01,Friday,10:50 am,3:14 pm,$1
398,2017-12-05,Tuesday,8:15 am,12:14 pm,$1
415,2017-12-09,Saturday,8:15 am,12:14 pm,$1
476,2017-12-22,Friday,6:05 pm,9:55 pm,$1
511,2017-12-31,Sunday,8:15 am,12:14 pm,$1
521,2018-01-02,Tuesday,8:15 am,12:14 pm,$1
528,2018-01-03,Wednesday,5:15 pm,8:20 pm,$1
533,2018-01-05,Friday,8:15 am,12:14 pm,$1
542,2018-01-07,Sunday,8:15 am,12:14 pm,$1
552,2018-01-09,Tuesday,8:15 am,12:14 pm,$1
556,2018-01-10,Wednesday,8:15 am,12:14 pm,$1
569,2018-01-13,Saturday,8:15 am,12:14 pm,$1
595,2018-01-19,Friday,8:15 am,12:14 pm,$1
604,2018-01-21,Sunday,8:15 am,12:14 pm,$1
614,2018-01-23,Tuesday,8:15 am,12:14 pm,$1
622,2018-01-25,Thursday,8:15 am,12:14 pm,$1
626,2018-01-26,Friday,8:15 am,12:14 pm,$1
635,2018-01-28,Sunday,8:15 am,12:14 pm,$1
649,2018-01-31,Wednesday,8:15 am,12:14 pm,$1
662,2018-02-03,Saturday,8:15 am,12:14 pm,$1
666,2018-02-04,Sunday,8:15 am,12:14 pm,$1
672,2018-02-05,Monday,8:15 am,12:14 pm,$1
680,2018-02-07,Wednesday,8:15 am,12:14 pm,$1
684,2018-02-08,Thursday,8:15 am,12:14 pm,$1
690,2018-02-09,Friday,10:50 am,3:14 pm,$1
692,2018-02-09,Friday,6:05 pm,9:55 pm,$1
693,2018-02-10,Saturday,8:15 am,12:14 pm,$1
697,2018-02-11,Sunday,8:15 am,12:14 pm,$1
703,2018-02-12,Monday,8:15 am,12:14 pm,$1
711,2018-02-14,Wednesday,8:15 am,12:14 pm,$1
715,2018-02-15,Thursday,8:15 am,12:14 pm,$1
719,2018-02-16,Friday,8:15 am,12:14 pm,$1
724,2018-02-17,Saturday,8:15 am,12:14 pm,$1
726,2018-02-17,Saturday,10:50 am,3:14 pm,$1
728,2018-02-18,Sunday,8:15 am,12:14 pm,$1
742,2018-02-21,Wednesday,8:15 am,12:14 pm,$1
745,2018-02-21,Wednesday,5:15 pm,8:20 pm,$1
746,2018-02-22,Thursday,8:15 am,12:14 pm,$1
750,2018-02-23,Friday,8:15 am,12:14 pm,$1
755,2018-02-24,Saturday,8:15 am,12:14 pm,$1
759,2018-02-25,Sunday,8:15 am,12:14 pm,$1
769,2018-02-27,Tuesday,8:15 am,12:14 pm,$1
780,2018-03-01,Thursday,5:15 pm,8:20 pm,$1
781,2018-03-02,Friday,8:15 am,12:14 pm,$1
788,2018-03-03,Saturday,10:50 am,3:14 pm,$1
796,2018-03-05,Monday,8:15 am,12:14 pm,$1
800,2018-03-06,Tuesday,8:15 am,12:14 pm,$1
808,2018-03-08,Thursday,8:15 am,12:14 pm,$1
812,2018-03-09,Friday,8:15 am,12:14 pm,$1
817,2018-03-10,Saturday,8:15 am,12:14 pm,$1
821,2018-03-11,Sunday,8:15 am,12:14 pm,$1
825,2018-03-11,Sunday,5:15 pm,8:20 pm,$1
827,2018-03-12,Monday,8:15 am,12:14 pm,$1
835,2018-03-14,Wednesday,8:15 am,12:14 pm,$1
839,2018-03-15,Thursday,8:15 am,12:14 pm,$1
842,2018-03-15,Thursday,5:15 pm,8:20 pm,$1
846,2018-03-16,Friday,5:15 pm,8:20 pm,$1
847,2018-03-16,Friday,6:05 pm,9:55 pm,$1
862,2018-03-20,Tuesday,8:15 am,12:14 pm,$1
866,2018-03-21,Wednesday,8:15 am,12:14 pm,$1
873,2018-03-22,Thursday,5:15 pm,8:20 pm,$1
874,2018-03-23,Friday,8:15 am,12:14 pm,$1
876,2018-03-23,Friday,10:50 am,3:14 pm,$1
879,2018-03-24,Saturday,8:15 am,12:14 pm,$1
883,2018-03-25,Sunday,8:15 am,12:14 pm,$1
889,2018-03-26,Monday,8:15 am,12:14 pm,$1
891,2018-03-26,Monday,10:50 am,3:14 pm,$1
910,2018-03-31,Saturday,8:15 am,12:14 pm,$1
914,2018-04-01,Sunday,8:15 am,12:14 pm,$1
917,2018-04-01,Sunday,4:25 pm,8:20 pm,$1
919,2018-04-01,Sunday,4:25 pm,8:35 pm,$1
924,2018-04-03,Tuesday,8:15 am,12:14 pm,$1
928,2018-04-04,Wednesday,8:15 am,12:14 pm,$1
932,2018-04-05,Thursday,8:15 am,12:14 pm,$1
945,2018-04-08,Sunday,8:15 am,12:14 pm,$1
951,2018-04-09,Monday,8:15 am,12:14 pm,$1
954,2018-04-09,Monday,5:15 pm,8:20 pm,$1
955,2018-04-10,Tuesday,8:15 am,12:14 pm,$1
959,2018-04-11,Wednesday,8:15 am,12:14 pm,$1
962,2018-04-11,Wednesday,5:15 pm,8:20 pm,$1
963,2018-04-12,Thursday,8:15 am,12:14 pm,$1
966,2018-04-12,Thursday,5:15 pm,8:20 pm,$1
970,2018-04-13,Friday,5:15 pm,8:20 pm,$1
972,2018-04-14,Saturday,8:15 am,12:14 pm,$1
976,2018-04-15,Sunday,8:15 am,12:14 pm,$1
982,2018-04-16,Monday,8:15 am,12:14 pm,$1
986,2018-04-17,Tuesday,8:15 am,12:14 pm,$1
989,2018-04-17,Tuesday,5:15 pm,8:20 pm,$1
990,2018-04-18,Wednesday,8:15 am,12:14 pm,$1
994,2018-04-19,Thursday,8:15 am,12:14 pm,$1
997,2018-04-19,Thursday,5:15 pm,8:20 pm,$1
998,2018-04-20,Friday,8:15 am,12:14 pm,$1
1003,2018-04-21,Saturday,8:15 am,12:14 pm,$1
1007,2018-04-22,Sunday,8:15 am,12:14 pm,$1
1011,2018-04-22,Sunday,5:15 pm,8:20 pm,$1
1013,2018-04-23,Monday,8:15 am,12:14 pm,$1
1016,2018-04-23,Monday,5:15 pm,8:20 pm,$1
1017,2018-04-24,Tuesday,8:15 am,12:14 pm,$1
1020,2018-04-24,Tuesday,5:15 pm,8:20 pm,$1
1021,2018-04-25,Wednesday,8:15 am,12:14 pm,$1
1024,2018-04-25,Wednesday,5:15 pm,8:20 pm,$1
1025,2018-04-26,Thursday,8:15 am,12:14 pm,$1
1028,2018-04-26,Thursday,5:15 pm,8:20 pm,$1
1034,2018-04-28,Saturday,8:15 am,12:14 pm,$1
1038,2018-04-29,Sunday,8:15 am,12:14 pm,$1
1047,2018-04-30,Monday,5:15 pm,8:20 pm,$1
1048,2018-05-01,Tuesday,8:15 am,12:14 pm,$1
1051,2018-05-01,Tuesday,5:15 pm,8:20 pm,$1
1052,2018-05-02,Wednesday,8:15 am,12:14 pm,$1
1056,2018-05-03,Thursday,8:15 am,12:14 pm,$1
1065,2018-05-05,Saturday,8:15 am,12:14 pm,$1
1069,2018-05-06,Sunday,8:15 am,12:14 pm,$1
1075,2018-05-07,Monday,8:15 am,12:14 pm,$1
1078,2018-05-07,Monday,5:15 pm,8:20 pm,$1
1079,2018-05-08,Tuesday,8:15 am,12:14 pm,$1
1082,2018-05-08,Tuesday,5:15 pm,8:20 pm,$1
1083,2018-05-09,Wednesday,8:15 am,12:14 pm,$1
1086,2018-05-09,Wednesday,5:15 pm,8:20 pm,$1
1087,2018-05-10,Thursday,8:15 am,12:14 pm,$1
1090,2018-05-10,Thursday,5:15 pm,8:20 pm,$1
1091,2018-05-11,Friday,8:15 am,12:14 pm,$1
1094,2018-05-11,Friday,5:15 pm,8:20 pm,$1
1096,2018-05-12,Saturday,8:15 am,12:14 pm,$1
1100,2018-05-13,Sunday,8:15 am,12:14 pm,$1
1109,2018-05-14,Monday,5:15 pm,8:20 pm,$1
1110,2018-05-15,Tuesday,8:15 am,12:14 pm,$1
1113,2018-05-15,Tuesday,5:15 pm,8:20 pm,$1
1114,2018-05-16,Wednesday,8:15 am,12:14 pm,$1
1117,2018-05-16,Wednesday,5:15 pm,8:20 pm,$1
1118,2018-05-17,Thursday,8:15 am,12:14 pm,$1
1121,2018-05-17,Thursday,5:15 pm,8:20 pm,$1
1122,2018-05-18,Friday,8:15 am,12:14 pm,$1
1127,2018-05-19,Saturday,8:15 am,12:14 pm,$1
1131,2018-05-20,Sunday,8:15 am,12:14 pm,$1
1137,2018-05-21,Monday,8:15 am,12:14 pm,$1
1141,2018-05-22,Tuesday,8:15 am,12:14 pm,$1
1144,2018-05-22,Tuesday,5:15 pm,8:20 pm,$1
1145,2018-05-23,Wednesday,8:15 am,12:14 pm,$1
1148,2018-05-23,Wednesday,5:15 pm,8:20 pm,$1
1149,2018-05-24,Thursday,8:15 am,12:14 pm,$1
1152,2018-05-24,Thursday,5:15 pm,8:20 pm,$1
1153,2018-05-25,Friday,8:15 am,12:14 pm,$1
1155,2018-05-25,Friday,10:50 am,3:14 pm,$1
1156,2018-05-25,Friday,5:15 pm,8:20 pm,$1
1158,2018-05-26,Saturday,8:15 am,12:14 pm,$1
1162,2018-05-27,Sunday,8:15 am,12:14 pm,$1
1171,2018-05-28,Monday,5:15 pm,8:20 pm,$1
1172,2018-05-29,Tuesday,8:15 am,12:14 pm,$1
1175,2018-05-29,Tuesday,5:15 pm,8:20 pm,$1
1176,2018-05-30,Wednesday,8:15 am,12:14 pm,$1
1179,2018-05-30,Wednesday,5:15 pm,8:20 pm,$1
1180,2018-05-31,Thursday,8:15 am,12:14 pm,$1
1183,2018-05-31,Thursday,5:15 pm,8:20 pm,$1
1184,2018-06-01,Friday,8:15 am,12:14 pm,$1
1189,2018-06-02,Saturday,8:15 am,12:14 pm,$1
1193,2018-06-03,Sunday,8:15 am,12:14 pm,$1
1196,2018-06-03,Sunday,4:25 pm,8:20 pm,$1
1197,2018-06-03,Sunday,5:15 pm,8:20 pm,$1
1198,2018-06-03,Sunday,4:25 pm,8:35 pm,$1
1199,2018-06-04,Monday,8:15 am,12:14 pm,$1
1201,2018-06-04,Monday,10:50 am,3:14 pm,$1
1202,2018-06-04,Monday,5:15 pm,8:20 pm,$1
1203,2018-06-05,Tuesday,8:15 am,12:14 pm,$1
1206,2018-06-05,Tuesday,5:15 pm,8:20 pm,$1
1207,2018-06-06,Wednesday,8:15 am,12:14 pm,$1
1210,2018-06-06,Wednesday,5:15 pm,8:20 pm,$1
1211,2018-06-07,Thursday,8:15 am,12:14 pm,$1
1214,2018-06-07,Thursday,5:15 pm,8:20 pm,$1
1215,2018-06-08,Friday,8:15 am,12:14 pm,$1
1220,2018-06-09,Saturday,8:15 am,12:14 pm,$1
1224,2018-06-10,Sunday,8:15 am,12:14 pm,$1
1230,2018-06-11,Monday,8:15 am,12:14 pm,$1
1233,2018-06-11,Monday,5:15 pm,8:20 pm,$1
1234,2018-06-12,Tuesday,8:15 am,12:14 pm,$1
1237,2018-06-12,Tuesday,5:15 pm,8:20 pm,$1
1238,2018-06-13,Wednesday,8:15 am,12:14 pm,$1
1241,2018-06-13,Wednesday,5:15 pm,8:20 pm,$1
1242,2018-06-14,Thursday,8:15 am,12:14 pm,$1
1245,2018-06-14,Thursday,5:15 pm,8:20 pm,$1
1246,2018-06-15,Friday,8:15 am,12:14 pm,$1
1251,2018-06-16,Saturday,8:15 am,12:14 pm,$1
1255,2018-06-17,Sunday,8:15 am,12:14 pm,$1
1261,2018-06-18,Monday,8:15 am,12:14 pm,$1
1265,2018-06-19,Tuesday,8:15 am,12:14 pm,$1
1268,2018-06-19,Tuesday,5:15 pm,8:20 pm,$1
1269,2018-06-20,Wednesday,8:15 am,12:14 pm,$1
1273,2018-06-21,Thursday,8:15 am,12:14 pm,$1
1276,2018-06-21,Thursday,5:15 pm,8:20 pm,$1
1277,2018-06-22,Friday,8:15 am,12:14 pm,$1
1280,2018-06-22,Friday,5:15 pm,8:20 pm,$1
1282,2018-06-23,Saturday,8:15 am,12:14 pm,$1
1286,2018-06-24,Sunday,8:15 am,12:14 pm,$1
1292,2018-06-25,Monday,8:15 am,12:14 pm,$1
1295,2018-06-25,Monday,5:15 pm,8:20 pm,$1
1296,2018-06-26,Tuesday,8:15 am,12:14 pm,$1
1300,2018-06-27,Wednesday,8:15 am,12:14 pm,$1
1303,2018-06-27,Wednesday,5:15 pm,8:20 pm,$1
1304,2018-06-28,Thursday,8:15 am,12:14 pm,$1
1307,2018-06-28,Thursday,5:15 pm,8:20 pm,$1
1308,2018-06-29,Friday,8:15 am,12:14 pm,$1
1313,2018-06-30,Saturday,8:15 am,12:14 pm,$1
1317,2018-07-01,Sunday,8:15 am,12:14 pm,$1
1321,2018-07-01,Sunday,5:15 pm,8:20 pm,$1
1323,2018-07-02,Monday,8:15 am,12:14 pm,$1
1326,2018-07-02,Monday,5:15 pm,8:20 pm,$1
1327,2018-07-03,Tuesday,8:15 am,12:14 pm,$1
1330,2018-07-03,Tuesday,5:15 pm,8:20 pm,$1
1331,2018-07-04,Wednesday,8:15 am,12:14 pm,$1
1334,2018-07-04,Wednesday,5:15 pm,8:20 pm,$1
1335,2018-07-05,Thursday,8:15 am,12:14 pm,$1
1338,2018-07-05,Thursday,5:15 pm,8:20 pm,$1
1339,2018-07-06,Friday,8:15 am,12:14 pm,$1
1342,2018-07-06,Friday,5:15 pm,8:20 pm,$1
1344,2018-07-07,Saturday,8:15 am,12:14 pm,$1
1348,2018-07-08,Sunday,8:15 am,12:14 pm,$1
1354,2018-07-09,Monday,8:15 am,12:14 pm,$1
1357,2018-07-09,Monday,5:15 pm,8:20 pm,$1
1358,2018-07-10,Tuesday,8:15 am,12:14 pm,$1
1361,2018-07-10,Tuesday,5:15 pm,8:20 pm,$1
1362,2018-07-11,Wednesday,8:15 am,12:14 pm,$1
1365,2018-07-11,Wednesday,5:15 pm,8:20 pm,$1
1366,2018-07-12,Thursday,8:15 am,12:14 pm,$1
1370,2018-07-13,Friday,8:15 am,12:14 pm,$1
1375,2018-07-14,Saturday,8:15 am,12:14 pm,$1
1379,2018-07-15,Sunday,8:15 am,12:14 pm,$1
1383,2018-07-15,Sunday,5:15 pm,8:20 pm,$1
1385,2018-07-16,Monday,8:15 am,12:14 pm,$1
1388,2018-07-16,Monday,5:15 pm,8:20 pm,$1
1389,2018-07-17,Tuesday,8:15 am,12:14 pm,$1
1392,2018-07-17,Tuesday,5:15 pm,8:20 pm,$1
1393,2018-07-18,Wednesday,8:15 am,12:14 pm,$1
1396,2018-07-18,Wednesday,5:15 pm,8:20 pm,$1
1397,2018-07-19,Thursday,8:15 am,12:14 pm,$1
1400,2018-07-19,Thursday,5:15 pm,8:20 pm,$1
1401,2018-07-20,Friday,8:15 am,12:14 pm,$1
1406,2018-07-21,Saturday,8:15 am,12:14 pm,$1
1410,2018-07-22,Sunday,8:15 am,12:14 pm,$1
1416,2018-07-23,Monday,8:15 am,12:14 pm,$1
1419,2018-07-23,Monday,5:15 pm,8:20 pm,$1
1420,2018-07-24,Tuesday,8:15 am,12:14 pm,$1
1423,2018-07-24,Tuesday,5:15 pm,8:20 pm,$1
1424,2018-07-25,Wednesday,8:15 am,12:14 pm,$1
1427,2018-07-25,Wednesday,5:15 pm,8:20 pm,$1
1428,2018-07-26,Thursday,8:15 am,12:14 pm,$1
1431,2018-07-26,Thursday,5:15 pm,8:20 pm,$1
1432,2018-07-27,Friday,8:15 am,12:14 pm,$1
1437,2018-07-28,Saturday,8:15 am,12:14 pm,$1
1441,2018-07-29,Sunday,8:15 am,12:14 pm,$1
1447,2018-07-30,Monday,8:15 am,12:14 pm,$1
1450,2018-07-30,Monday,5:15 pm,8:20 pm,$1
1451,2018-07-31,Tuesday,8:15 am,12:14 pm,$1
1454,2018-07-31,Tuesday,5:15 pm,8:20 pm,$1
1455,2018-08-01,Wednesday,8:15 am,12:14 pm,$1
1458,2018-08-01,Wednesday,5:15 pm,8:20 pm,$1
1459,2018-08-02,Thursday,8:15 am,12:14 pm,$1
1462,2018-08-02,Thursday,5:15 pm,8:20 pm,$1
1463,2018-08-03,Friday,8:15 am,12:14 pm,$1
1466,2018-08-03,Friday,5:15 pm,8:20 pm,$1
1468,2018-08-04,Saturday,8:15 am,12:14 pm,$1
1472,2018-08-05,Sunday,8:15 am,12:14 pm,$1
1478,2018-08-06,Monday,8:15 am,12:14 pm,$1
1481,2018-08-06,Monday,5:15 pm,8:20 pm,$1
1482,2018-08-07,Tuesday,8:15 am,12:14 pm,$1
1485,2018-08-07,Tuesday,5:15 pm,8:20 pm,$1
1486,2018-08-08,Wednesday,8:15 am,12:14 pm,$1
1489,2018-08-08,Wednesday,5:15 pm,8:20 pm,$1
1490,2018-08-09,Thursday,8:15 am,12:14 pm,$1
1493,2018-08-09,Thursday,5:15 pm,8:20 pm,$1
1494,2018-08-10,Friday,8:15 am,12:14 pm,$1
1499,2018-08-11,Saturday,8:15 am,12:14 pm,$1
1503,2018-08-12,Sunday,8:15 am,12:14 pm,$1
1509,2018-08-13,Monday,8:15 am,12:14 pm,$1
1512,2018-08-13,Monday,5:15 pm,8:20 pm,$1
1513,2018-08-14,Tuesday,8:15 am,12:14 pm,$1
1516,2018-08-14,Tuesday,5:15 pm,8:20 pm,$1
1517,2018-08-15,Wednesday,8:15 am,12:14 pm,$1
1520,2018-08-15,Wednesday,5:15 pm,8:20 pm,$1
1521,2018-08-16,Thursday,8:15 am,12:14 pm,$1
1525,2018-08-17,Friday,8:15 am,12:14 pm,$1
1528,2018-08-17,Friday,5:15 pm,8:20 pm,$1
1530,2018-08-18,Saturday,8:15 am,12:14 pm,$1
